Frame 300: red, (823.5802001953125, 167.72128295898438), (876.0030517578125, 294.69464111328125)
Frame 303: red, (1095.003173828125, 605.3175048828125), (1218.727783203125, 720.0)
Frame 303: red, (804.16650390625, 552.088134765625), (931.7144775390625, 720.0)
Frame 303: blue, (247.58078002929688, 622.759521484375), (370.7577819824219, 720.0)
Frame 303: red, (672.40283203125, 238.86993408203125), (769.7752685546875, 316.29241943359375)
Frame 303: blue, (465.660888671875, 194.1331787109375), (537.4708251953125, 259.7970886230469)
Frame 303: blue, (361.8067626953125, 211.51919555664062), (442.8424072265625, 300.0045471191406)
Frame 303: blue, (411.15533447265625, 272.04443359375), (507.02642822265625, 352.5567626953125)
Frame 303: red, (826.952880859375, 167.66659545898438), (877.76708984375, 293.7622985839844)
Frame 306: red, (1095.5791015625, 601.4788818359375), (1216.83251953125, 720.0)
Frame 306: red, (807.050537109375, 552.9671630859375), (934.50244140625, 720.0)
Frame 306: blue, (247.97950744628906, 622.789306640625), (371.067138671875, 720.0)
Frame 306: red, (672.7131958007812, 239.30694580078125), (769.7653198242188, 315.60614013671875)
Frame 306: blue, (468.15234375, 194.94949340820312), (538.634033203125, 260.4842529296875)
Frame 306: blue, (364.97650146484375, 206.84793090820312), (440.46807861328125, 298.2654724121094)
Frame 306: blue, (406.0576171875, 270.22564697265625), (504.206298828125, 350.22882080078125)
Frame 306: red, (828.609375, 170.42816162109375), (879.2294921875, 293.852783203125)
Frame 309: red, (1093.939208984375, 601.716552734375), (1217.42626953125, 720.0)
Frame 309: red, (810.5689697265625, 554.815185546875), (938.5682373046875, 720.0)
Frame 309: blue, (248.42173767089844, 622.1121826171875), (370.4677734375, 720.0)
Frame 309: red, (672.251220703125, 239.28253173828125), (770.22412109375, 315.99066162109375)
Frame 309: blue, (470.20361328125, 194.56884765625), (539.746337890625, 262.3052978515625)
Frame 309: blue, (366.98895263671875, 200.75982666015625), (441.15692138671875, 295.76666259765625)
Frame 309: red, (830.5506591796875, 171.86012268066406), (882.7879638671875, 294.314453125)
Frame 309: blue, (395.07904052734375, 271.353759765625), (495.36468505859375, 348.6199951171875)
Frame 312: red, (1091.98291015625, 605.5), (1212.61474609375, 720.0)
Frame 312: red, (812.009765625, 557.0933837890625), (941.90966796875, 720.0)
Frame 312: blue, (248.5965576171875, 621.6254272460938), (370.57861328125, 720.0)
Frame 312: red, (672.5227661132812, 239.64959716796875), (769.8330688476562, 317.1541748046875)
Frame 312: blue, (469.3734130859375, 194.55218505859375), (541.923828125, 263.5514831542969)
Frame 312: blue, (386.4708251953125, 267.95916748046875), (487.6494140625, 348.95355224609375)
Frame 312: red, (832.8276977539062, 171.4366455078125), (883.8511352539062, 294.47186279296875)
Frame 312: blue, (366.4001159667969, 200.9418182373047), (435.8970642089844, 295.74920654296875)
Frame 315: red, (1091.527587890625, 605.7523803710938), (1211.357177734375, 720.0)
Frame 315: red, (813.50537109375, 557.83056640625), (943.315185546875, 720.0)
Frame 315: blue, (248.74456787109375, 620.998046875), (368.5010986328125, 720.0)
Frame 315: blue, (468.41900634765625, 194.94683837890625), (541.6400756835938, 263.9648132324219)
Frame 315: red, (671.9541015625, 240.57562255859375), (769.865478515625, 316.73944091796875)
Frame 315: blue, (378.4486083984375, 262.10028076171875), (484.8724365234375, 349.06085205078125)
Frame 315: red, (834.427978515625, 170.88136291503906), (885.60595703125, 294.91015625)
Frame 315: blue, (368.7393798828125, 196.21502685546875), (436.214599609375, 284.264404296875)
Frame 315: blue, (366.3699035644531, 212.0992431640625), (443.0018615722656, 301.88726806640625)
Frame 315: blue, (372.23126220703125, 245.0902099609375), (477.20367431640625, 343.90380859375)
Frame 315: blue, (383.5606384277344, 190.75146484375), (438.3125305175781, 251.14199829101562)
Frame 318: red, (811.506591796875, 557.468994140625), (943.4669189453125, 720.0)
Frame 318: blue, (249.63446044921875, 620.7749633789062), (367.0628662109375, 720.0)
Frame 318: red, (1090.25830078125, 604.37890625), (1209.9375, 720.0)
Frame 318: red, (671.332275390625, 240.74481201171875), (769.84033203125, 316.66998291015625)
Frame 318: blue, (469.17205810546875, 194.00872802734375), (542.4628295898438, 264.4871826171875)
Frame 318: red, (834.307861328125, 172.80642700195312), (886.13916015625, 295.4073181152344)
Frame 318: blue, (369.6607666015625, 193.14227294921875), (433.9984130859375, 279.82049560546875)
Frame 318: blue, (373.4441833496094, 246.30670166015625), (478.0000305175781, 346.12506103515625)
Frame 318: blue, (368.31591796875, 213.78993225097656), (460.05084228515625, 327.1431884765625)
Frame 318: blue, (369.08642578125, 194.39724731445312), (439.3870849609375, 306.6508483886719)
Frame 321: red, (810.9674072265625, 558.0108642578125), (943.8172607421875, 720.0)
Frame 321: red, (1088.069580078125, 604.891357421875), (1207.972900390625, 720.0)
